symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_days,sector,closed_at_end,side
LIQUIDBEES,2025-12-01,2025-12-31,0.0,1000.0,0.0,30,Other,True,LONG
DMART,2025-12-01,2025-12-31,0.0,3753.5,0.0,30,Retail,True,LONG
BPCL,2025-12-01,2025-12-31,0.0,359.3628234863281,0.0,30,Energy,True,LONG
DIXON,2025-12-01,2025-12-31,0.0,11767.0,0.0,30,Capital Goods,True,LONG
BHARTIARTL,2025-12-01,2025-12-31,0.0,2099.800048828125,0.0,30,Telecom,True,LONG
GODREJPROP,2025-12-01,2025-12-31,0.0,1977.699951171875,0.0,30,Real Estate,True,LONG
TITAN,2025-12-01,2025-12-31,0.0,3974.10009765625,0.0,30,Consumer Disc.,True,LONG
NIFTYBEES,2025-12-01,2025-12-31,129.14999389648438,293.32000732421875,1.2711577327624117,30,Other,True,LONG
PFC,2025-12-01,2025-12-31,0.0,351.9288635253906,0.0,30,Financials,True,LONG
GOLDBEES,2025-12-01,2025-12-31,0.0,111.16999816894531,0.0,30,Other,True,LONG
HCLTECH,2025-12-01,2025-12-31,0.0,1603.583251953125,0.0,30,IT,True,LONG
HINDZINC,2025-12-01,2025-12-31,0.0,612.4500122070312,0.0,30,Metals,True,LONG
COALINDIA,2025-12-01,2025-12-31,0.0,392.8072509765625,0.0,30,Energy,True,LONG
PSUBNKBEES,2025-12-01,2025-12-31,0.0,94.83000183105469,0.0,30,Other,True,LONG
ADANIGREEN,2025-12-01,2025-12-31,0.0,1015.0999755859375,0.0,30,Renewables,True,LONG
ITBEES,2025-12-01,2025-12-31,0.0,41.7599983215332,0.0,30,Other,True,LONG
LTIM,2025-12-01,2025-12-31,0.0,6074.0,0.0,30,IT,True,LONG
OILIETF,2025-12-01,2025-12-31,0.0,12.390000343322754,0.0,30,Other,True,LONG
BAJAJ-AUTO,2025-12-01,2025-12-31,0.0,9282.0,0.0,30,Auto,True,LONG
NHPC,2025-12-01,2025-12-31,0.0,77.81432342529297,0.0,30,Utilities,True,LONG
FEDERALBNK,2025-12-01,2025-12-31,0.0,267.1000061035156,0.0,30,Financials,True,LONG
CGPOWER,2025-12-01,2025-12-31,0.0,646.47314453125,0.0,30,Capital Goods,True,LONG
